p1,p2,g,alg,alarm,t,l,false_alarm,delay
0.01,0.02,1,random,logistic_topr,28,1,0,27
0.01,0.02,1,random,logistic_topr,32,1,0,31
0.01,0.02,1,random,logistic_topr,20,5,0,19
0.01,0.02,1,random,logistic_topr,37,3,0,36
0.01,0.02,1,random,logistic_topr,28,3,0,27
0.01,0.02,1,random,logistic_topr,37,2,0,36
0.01,0.02,1,random,logistic_topr,81,1,0,80
0.01,0.02,1,random,logistic_topr,15,1,0,14
0.01,0.02,1,random,logistic_topr,29,4,0,28
0.01,0.02,1,random,logistic_topr,21,3,0,20
0.01,0.02,1,random,logistic_topr,58,1,0,57
0.01,0.02,1,random,logistic_topr,44,1,0,43
0.01,0.02,1,random,logistic_topr,7,4,0,6
0.01,0.02,1,random,logistic_topr,63,1,0,62
0.01,0.02,1,random,logistic_topr,37,1,0,36
0.01,0.02,1,random,logistic_topr,47,1,0,46
0.01,0.02,1,random,logistic_topr,57,1,0,56
0.01,0.02,1,random,logistic_topr,67,3,0,66
0.01,0.02,1,random,logistic_topr,48,1,0,47
0.01,0.02,1,random,logistic_topr,39,1,0,38
0.01,0.02,1,random,logistic_topr,32,5,0,31
0.01,0.02,1,random,logistic_topr,12,1,0,11
0.01,0.02,1,random,logistic_topr,89,1,0,88
0.01,0.02,1,random,logistic_topr,35,1,0,34
0.01,0.02,1,random,logistic_topr,31,3,0,30
0.01,0.02,1,random,logistic_topr,47,2,0,46
0.01,0.02,1,random,logistic_topr,101,1,0,100
0.01,0.02,1,random,logistic_topr,82,1,0,81
0.01,0.02,1,random,logistic_topr,54,1,0,53
0.01,0.02,1,random,logistic_topr,29,1,0,28
0.01,0.02,1,random,logistic_topr,39,1,0,38
0.01,0.02,1,random,logistic_topr,35,1,0,34
0.01,0.02,1,random,logistic_topr,15,4,0,14
0.01,0.02,1,random,logistic_topr,18,2,0,17
0.01,0.02,1,random,logistic_topr,77,1,0,76
0.01,0.02,1,random,logistic_topr,29,5,0,28
0.01,0.02,1,random,logistic_topr,25,4,0,24
0.01,0.02,1,random,logistic_topr,52,1,0,51
0.01,0.02,1,random,logistic_topr,46,4,0,45
0.01,0.02,1,random,logistic_topr,22,4,0,21
0.01,0.02,1,random,logistic_topr,27,5,0,26
0.01,0.02,1,random,logistic_topr,66,1,0,65
0.01,0.02,1,random,logistic_topr,80,1,0,79
