p1,p2,g,alg,alarm,t,l,false_alarm,delay
0.01,0.02,1,thompson,logistic_topr,12,2,0,11
0.01,0.02,1,thompson,logistic_topr,26,2,0,25
0.01,0.02,1,thompson,logistic_topr,38,1,0,37
0.01,0.02,1,thompson,logistic_topr,12,2,0,11
0.01,0.02,1,thompson,logistic_topr,39,2,0,38
0.01,0.02,1,thompson,logistic_topr,93,2,0,92
0.01,0.02,1,thompson,logistic_topr,50,2,0,49
0.01,0.02,1,thompson,logistic_topr,73,1,0,72
0.01,0.02,1,thompson,logistic_topr,32,2,0,31
0.01,0.02,1,thompson,logistic_topr,54,2,0,53
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,32,2,0,31
0.01,0.02,1,thompson,logistic_topr,19,4,0,18
0.01,0.02,1,thompson,logistic_topr,24,2,0,23
0.01,0.02,1,thompson,logistic_topr,18,2,0,17
0.01,0.02,1,thompson,logistic_topr,56,1,0,55
0.01,0.02,1,thompson,logistic_topr,72,1,0,71
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,57,2,0,56
0.01,0.02,1,thompson,logistic_topr,7,4,0,6
0.01,0.02,1,thompson,logistic_topr,88,1,0,87
0.01,0.02,1,thompson,logistic_topr,65,1,0,64
0.01,0.02,1,thompson,logistic_topr,56,1,0,55
0.01,0.02,1,thompson,logistic_topr,60,1,0,59
0.01,0.02,1,thompson,logistic_topr,53,2,0,52
0.01,0.02,1,thompson,logistic_topr,16,1,0,15
0.01,0.02,1,thompson,logistic_topr,43,1,0,42
0.01,0.02,1,thompson,logistic_topr,30,1,0,29
0.01,0.02,1,thompson,logistic_topr,26,2,0,25
0.01,0.02,1,thompson,logistic_topr,41,4,0,40
0.01,0.02,1,thompson,logistic_topr,35,2,0,34
0.01,0.02,1,thompson,logistic_topr,80,1,0,79
0.01,0.02,1,thompson,logistic_topr,34,2,0,33
0.01,0.02,1,thompson,logistic_topr,14,1,0,13
0.01,0.02,1,thompson,logistic_topr,5,3,0,4
0.01,0.02,1,thompson,logistic_topr,24,1,0,23
0.01,0.02,1,thompson,logistic_topr,121,1,0,120
0.01,0.02,1,thompson,logistic_topr,45,1,0,44
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,23,2,0,22
0.01,0.02,1,thompson,logistic_topr,22,1,0,21
0.01,0.02,1,thompson,logistic_topr,25,2,0,24
0.01,0.02,1,thompson,logistic_topr,18,4,0,17
0.01,0.02,1,thompson,logistic_topr,74,5,0,73
0.01,0.02,1,thompson,logistic_topr,33,2,0,32
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,42,2,0,41
0.01,0.02,1,thompson,logistic_topr,15,2,0,14
0.01,0.02,1,thompson,logistic_topr,12,1,0,11
0.01,0.02,1,thompson,logistic_topr,33,1,0,32
0.01,0.02,1,thompson,logistic_topr,25,5,0,24
0.01,0.02,1,thompson,logistic_topr,63,2,0,62
0.01,0.02,1,thompson,logistic_topr,37,1,0,36
0.01,0.02,1,thompson,logistic_topr,17,1,0,16
0.01,0.02,1,thompson,logistic_topr,36,1,0,35
0.01,0.02,1,thompson,logistic_topr,7,4,0,6
0.01,0.02,1,thompson,logistic_topr,133,1,0,132
0.01,0.02,1,thompson,logistic_topr,15,2,0,14
0.01,0.02,1,thompson,logistic_topr,27,2,0,26
0.01,0.02,1,thompson,logistic_topr,58,1,0,57
0.01,0.02,1,thompson,logistic_topr,38,5,0,37
0.01,0.02,1,thompson,logistic_topr,80,1,0,79
0.01,0.02,1,thompson,logistic_topr,7,4,0,6
0.01,0.02,1,thompson,logistic_topr,16,3,0,15
0.01,0.02,1,thompson,logistic_topr,68,1,0,67
0.01,0.02,1,thompson,logistic_topr,52,1,0,51
0.01,0.02,1,thompson,logistic_topr,39,1,0,38
0.01,0.02,1,thompson,logistic_topr,42,1,0,41
0.01,0.02,1,thompson,logistic_topr,49,2,0,48
0.01,0.02,1,thompson,logistic_topr,27,2,0,26
0.01,0.02,1,thompson,logistic_topr,30,5,0,29
0.01,0.02,1,thompson,logistic_topr,10,5,0,9
0.01,0.02,1,thompson,logistic_topr,28,2,0,27
0.01,0.02,1,thompson,logistic_topr,19,1,0,18
0.01,0.02,1,thompson,logistic_topr,57,1,0,56
0.01,0.02,1,thompson,logistic_topr,57,1,0,56
0.01,0.02,1,thompson,logistic_topr,28,1,0,27
0.01,0.02,1,thompson,logistic_topr,71,2,0,70
0.01,0.02,1,thompson,logistic_topr,56,1,0,55
0.01,0.02,1,thompson,logistic_topr,61,1,0,60
0.01,0.02,1,thompson,logistic_topr,30,1,0,29
0.01,0.02,1,thompson,logistic_topr,30,2,0,29
0.01,0.02,1,thompson,logistic_topr,29,2,0,28
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,38,1,0,37
0.01,0.02,1,thompson,logistic_topr,55,2,0,54
0.01,0.02,1,thompson,logistic_topr,26,3,0,25
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,31,2,0,30
0.01,0.02,1,thompson,logistic_topr,7,4,0,6
0.01,0.02,1,thompson,logistic_topr,71,1,0,70
0.01,0.02,1,thompson,logistic_topr,81,1,0,80
0.01,0.02,1,thompson,logistic_topr,40,2,0,39
0.01,0.02,1,thompson,logistic_topr,5,3,0,4
0.01,0.02,1,thompson,logistic_topr,48,1,0,47
0.01,0.02,1,thompson,logistic_topr,12,2,0,11
0.01,0.02,1,thompson,logistic_topr,70,1,0,69
0.01,0.02,1,thompson,logistic_topr,11,2,0,10
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,16,3,0,15
0.01,0.02,1,thompson,logistic_topr,88,2,0,87
0.01,0.02,1,thompson,logistic_topr,39,2,0,38
0.01,0.02,1,thompson,logistic_topr,44,3,0,43
0.01,0.02,1,thompson,logistic_topr,24,1,0,23
0.01,0.02,1,thompson,logistic_topr,7,4,0,6
0.01,0.02,1,thompson,logistic_topr,7,4,0,6
0.01,0.02,1,thompson,logistic_topr,34,2,0,33
0.01,0.02,1,thompson,logistic_topr,82,1,0,81
0.01,0.02,1,thompson,logistic_topr,57,2,0,56
0.01,0.02,1,thompson,logistic_topr,57,2,0,56
0.01,0.02,1,thompson,logistic_topr,95,1,0,94
0.01,0.02,1,thompson,logistic_topr,25,1,0,24
0.01,0.02,1,thompson,logistic_topr,32,2,0,31
0.01,0.02,1,thompson,logistic_topr,62,1,0,61
0.01,0.02,1,thompson,logistic_topr,21,1,0,20
0.01,0.02,1,thompson,logistic_topr,170,1,0,169
0.01,0.02,1,thompson,logistic_topr,19,2,0,18
0.01,0.02,1,thompson,logistic_topr,49,2,0,48
0.01,0.02,1,thompson,logistic_topr,20,2,0,19
0.01,0.02,1,thompson,logistic_topr,39,1,0,38
0.01,0.02,1,thompson,logistic_topr,28,5,0,27
0.01,0.02,1,thompson,logistic_topr,16,1,0,15
0.01,0.02,1,thompson,logistic_topr,12,2,0,11
0.01,0.02,1,thompson,logistic_topr,13,1,0,12
0.01,0.02,1,thompson,logistic_topr,139,1,0,138
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,64,1,0,63
0.01,0.02,1,thompson,logistic_topr,95,1,0,94
0.01,0.02,1,thompson,logistic_topr,88,1,0,87
0.01,0.02,1,thompson,logistic_topr,29,3,0,28
0.01,0.02,1,thompson,logistic_topr,13,3,0,12
0.01,0.02,1,thompson,logistic_topr,39,1,0,38
0.01,0.02,1,thompson,logistic_topr,47,2,0,46
0.01,0.02,1,thompson,logistic_topr,48,1,0,47
0.01,0.02,1,thompson,logistic_topr,5,3,0,4
0.01,0.02,1,thompson,logistic_topr,30,2,0,29
0.01,0.02,1,thompson,logistic_topr,74,1,0,73
0.01,0.02,1,thompson,logistic_topr,63,1,0,62
0.01,0.02,1,thompson,logistic_topr,112,2,0,111
0.01,0.02,1,thompson,logistic_topr,5,3,0,4
0.01,0.02,1,thompson,logistic_topr,56,1,0,55
0.01,0.02,1,thompson,logistic_topr,34,1,0,33
0.01,0.02,1,thompson,logistic_topr,51,1,0,50
0.01,0.02,1,thompson,logistic_topr,52,1,0,51
0.01,0.02,1,thompson,logistic_topr,5,3,0,4
0.01,0.02,1,thompson,logistic_topr,7,4,0,6
0.01,0.02,1,thompson,logistic_topr,35,3,0,34
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,12,1,0,11
0.01,0.02,1,thompson,logistic_topr,47,1,0,46
0.01,0.02,1,thompson,logistic_topr,27,2,0,26
0.01,0.02,1,thompson,logistic_topr,37,1,0,36
0.01,0.02,1,thompson,logistic_topr,72,1,0,71
0.01,0.02,1,thompson,logistic_topr,9,5,0,8
0.01,0.02,1,thompson,logistic_topr,27,2,0,26
0.01,0.02,1,thompson,logistic_topr,5,3,0,4
0.01,0.02,1,thompson,logistic_topr,52,5,0,51
0.01,0.02,1,thompson,logistic_topr,81,1,0,80
0.01,0.02,1,thompson,logistic_topr,7,4,0,6
0.01,0.02,1,thompson,logistic_topr,49,1,0,48
0.01,0.02,1,thompson,logistic_topr,70,1,0,69
0.01,0.02,1,thompson,logistic_topr,51,1,0,50
0.01,0.02,1,thompson,logistic_topr,77,1,0,76
0.01,0.02,1,thompson,logistic_topr,45,2,0,44
0.01,0.02,1,thompson,logistic_topr,48,1,0,47
0.01,0.02,1,thompson,logistic_topr,17,1,0,16
0.01,0.02,1,thompson,logistic_topr,35,4,0,34
0.01,0.02,1,thompson,logistic_topr,27,1,0,26
0.01,0.02,1,thompson,logistic_topr,83,1,0,82
0.01,0.02,1,thompson,logistic_topr,45,2,0,44
0.01,0.02,1,thompson,logistic_topr,71,2,0,70
0.01,0.02,1,thompson,logistic_topr,35,2,0,34
0.01,0.02,1,thompson,logistic_topr,73,1,0,72
0.01,0.02,1,thompson,logistic_topr,77,1,0,76
0.01,0.02,1,thompson,logistic_topr,48,3,0,47
0.01,0.02,1,thompson,logistic_topr,39,2,0,38
0.01,0.02,1,thompson,logistic_topr,5,3,0,4
0.01,0.02,1,thompson,logistic_topr,118,3,0,117
0.01,0.02,1,thompson,logistic_topr,7,4,0,6
0.01,0.02,1,thompson,logistic_topr,15,2,0,14
0.01,0.02,1,thompson,logistic_topr,86,2,0,85
